col_0,col_1,text_lower,text_contacts_masked,text_numbers,text_stripped,text_whitespace,text_stopwords_removed,text_clean
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","I'm gonna home soon i don't want talk about this stuff anymore tonight, k? I've cried enough today.","i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From <NUM> to <NUM>,<NUM> pounds txt> CSH11 and send to <NUM>. Cost 150p/day, 6days, <NUM>+ TsandCs apply Reply HL <NUM> info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances win CASH! From 100 20,000 pounds txt> CSH11 send 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","six chances to win cash! from <NUM> to <NUM>,<NUM> pounds txt> csh11 and send to <NUM>. cost 150p/day, 6days, <NUM>+ tsandcs apply reply hl <NUM> info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C <URL> LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a <NUM> week FREE membership in our £<NUM>,<NUM> Prize Jackpot! Txt the word: CLAIM to No: <NUM> T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won 1 week FREE membership our £100,000 Prize Jackpot! Txt word: CLAIM No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","urgent! you have won a <NUM> week free membership in our £<NUM>,<NUM> prize jackpot! txt the word: claim to no: <NUM> t&c <URL> lccltd pobox 4403ldnw1a7rw18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,I've been searching right words thank you this breather. I promise i wont take your help granted fulfil my promise. You have been wonderful blessing all times.,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will!!,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> <URL> xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click WAP link next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> <URL> xxxmobilemovieclub.com?n=qjkgighjjgcbl"
ham,Oh k...i'm watching here:),oh k...i'm watching here:),Oh k...i'm watching here:),Oh k...i'm watching here:),Oh k...i'm watching here,Oh k...i'm watching here:),Oh k...i'm watching here:),oh k...i'm watching here
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how <NUM> spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how <NUM> spell his name... yes i did. he v naughty make until i v wet
ham,Fine if that's the way u feel. That's the way its gota b,fine if that's the way u feel. that's the way its gota b,Fine if that's the way u feel. That's the way its gota b,Fine if that's the way u feel. That's the way its gota b,Fine if that's the way u feel. That's the way its gota b,Fine if that's the way u feel. That's the way its gota b,Fine if that's way u feel. That's way gota b,fine if that's the way u feel. that's the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to <NUM> eg ENGLAND to <NUM> Try:WALES, SCOTLAND 4txt/ú1.<NUM> POBOXox36504W45WQ <NUM>+","England v Macedonia dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss goals/team news. Txt ur national team 87077 eg ENGLAND 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","england v macedonia dont miss the goals/team news. txt ur national team to <NUM> eg england to <NUM> try:wales, scotland 4txt/ú1.<NUM> poboxox36504w45wq <NUM>"
ham,Is that seriously how you spell his name?,is that seriously how you spell his name?,Is that seriously how you spell his name?,Is that seriously how you spell his name?,Is that seriously how you spell his name,Is that seriously how you spell his name?,Is seriously how you spell his name?,is that seriously how you spell his name
ham,I‘m going to try for 2 months ha ha only joking,i‘m going to try for 2 months ha ha only joking,I‘m going to try for 2 months ha ha only joking,I‘m going to try for <NUM> months ha ha only joking,I‘m going to try for 2 months ha ha only joking,I‘m going to try for 2 months ha ha only joking,I‘m going try 2 months ha ha only joking,i‘m going to try for <NUM> months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...,so ü pay first lar... then when is da stock comin...,So ü pay first lar... Then when is da stock comin...,So ü pay first lar... Then when is da stock comin...,So ü pay first lar... Then when is da stock comin,So ü pay first lar... Then when is da stock comin...,So ü pay first lar... Then when da stock comin...,so ü pay first lar... then when is da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor. Ard <NUM> smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor. ard <NUM> smth lor. u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff. alright no way i can meet up with you sooner?,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff. Alright no way I can meet up with you sooner,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff. Alright no way I can meet up you sooner?,ffffffffff. alright no way i can meet up with you sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself eat slice. I'm really not hungry tho. This sucks. Mark getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol
ham,Lol your always so convincing.,lol your always so convincing.,Lol your always so convincing.,Lol your always so convincing.,Lol your always so convincing,Lol your always so convincing.,Lol your always so convincing.,lol your always so convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus Are you frying an egg Did you make a tea? Are you eating your mom's left over dinner Do you feel my Love ,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch bus ? Are you frying egg ? Did you make tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus are you frying an egg did you make a tea? are you eating your mom's left over dinner do you feel my love 
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","i'm back &amp; we're packing the car now, i'll let you know if there's room","I'm back &amp; we're packing the car now, I'll let you know if there's room","I'm back &amp; we're packing the car now, I'll let you know if there's room","I'm back &amp; we're packing the car now, I'll let you know if there's room","I'm back &amp; we're packing the car now, I'll let you know if there's room","I'm back &amp; we're packing car now, I'll let you know if there's room","i'm back &amp; we're packing the car now, i'll let you know if there's room"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh. work. i vaguely remember that! what does it feel like? lol,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Work. I vaguely remember that! What does feel like? Lol,ahhh. work. i vaguely remember that! what does it feel like? lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Wait that's still not all clear, were you not sure about me being sarcastic or that's why x doesn't want live us","wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you?,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,Yeah he got in at <NUM> and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till <NUM>! But we won't go there! Not doing too badly cheers. You?,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,Yeah got 2 v apologetic. n had fallen out she actin like spoilt child got caught up that. Till 2! But we won't go there! Not doing too badly cheers. You?,yeah he got in at <NUM> and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till <NUM>! but we won't go there! not doing too badly cheers. you
ham,K tell me anything about you.,k tell me anything about you.,K tell me anything about you.,K tell me anything about you.,K tell me anything about you,K tell me anything about you.,K tell me anything about you.,k tell me anything about you
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did? quick have a cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear fainting all housework you just did? Quick have cuppa,for fear of fainting with the of all that housework you just did? quick have a cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £<NUM>/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks your subscription Ringtone UK your mobile charged £5/month Please confirm replying YES or NO. If you reply NO you not charged,thanks for your subscription to ringtone uk your mobile will be charged £<NUM>/month please confirm by replying yes or no. if you reply no you will not be charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup... Ok i go home look timings then i msg ü again... Xuhui going learn 2nd may too but her lesson 8am,yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"Oops, I'll let you know when my roommate's done","oops, i'll let you know when my roommate's done","Oops, I'll let you know when my roommate's done","Oops, I'll let you know when my roommate's done","Oops, I'll let you know when my roommate's done","Oops, I'll let you know when my roommate's done","Oops, I'll let you know when my roommate's done","oops, i'll let you know when my roommate's done"
ham,I see the letter B on my car,i see the letter b on my car,I see the letter B on my car,I see the letter B on my car,I see the letter B on my car,I see the letter B on my car,I see letter B my car,i see the letter b on my car
ham,Anything lor... U decide...,anything lor... u decide...,Anything lor... U decide...,Anything lor... U decide...,Anything lor... U decide,Anything lor... U decide...,Anything lor... U decide...,anything lor... u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything!,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello! How's you how did saturday go? I just texting see if you'd decided do anything tomo. Not i'm trying invite myself or anything!,hello! how's you and how did saturday go? i was just texting to see if you'd decided to do anything tomo. not that i'm trying to invite myself or anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead watts. I just wanted sure. Do have great weekend. Abiola,pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","did i forget to tell you ? i want you , i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Did I forget to tell you I want you I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Did I forget tell you ? I want you , I need you, I crave you ... But most all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","did i forget to tell you i want you i need you, i crave you ... but most of all ... i love you my sweet arabian steed ... mmmmmm ... yummy"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,<NUM> - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now <NUM> for delivery tomorrow,07732584351 Rodger Burns MSG We tried to call you re your reply to our sms for a free nokia mobile free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried call you re your reply our sms free nokia mobile + free camcorder. Please call now 08000930705 delivery tomorrow,<NUM> rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder. please call now <NUM> for delivery tomorrow
